side,entry_idx,entry_date,entry_price,units,invest,fee_entry,confidence,regime,stop_distance,tp_distance,exit_idx,exit_date,exit_price,fee_exit,pnl,return,exit_reason
long,1,2023-11-08 22:00:00+00:00,1957.1280383605958,2.300437126112273,4500.0,2.25,0.610038855997703,neutral,3.15010986328125,5.6001953125,5,2023-11-09 02:00:00+00:00,1954.1224255981444,2.24766788840727,-9.161891073867556,-0.0020359757941927903,signal_exit
short,6,2023-11-09 03:00:00+00:00,1953.2228511962892,2.300104780128218,4494.86464901676,2.24743232450838,0.4271813970476017,neutral,4.872923060825893,8.662974330357143,15,2023-11-09 13:00:00+00:00,1956.6778011474607,2.250281981795023,-10.197028879587787,-0.0022685953139475203,signal_exit
long,16,2023-11-09 14:00:00+00:00,1964.281698852539,2.2865912136835713,4489.264641474917,2.2446323207374586,0.3737804244392995,neutral,7.367117745535657,13.097098214285612,18,2023-11-09 15:00:00+00:00,1967.2158511962891,2.2491092403822415,4.460097728445616,0.0009935029642138187,signal_exit
short,22,2023-11-09 17:00:00+00:00,1966.0165000000002,2.282796950131361,4490.261600908387,2.245130800454193,0.5336226032817679,neutral,10.189277866908395,18.114271763392704,29,2023-11-09 20:30:00+00:00,1964.3817244262693,2.242142304707036,1.4897183891545271,0.00033176650305923267,signal_exit
short,33,2023-11-10 00:00:00+00:00,1964.317398803711,2.284598561934889,4489.921665323302,2.244960832661651,0.7232627110629071,neutral,7.5728524344308035,13.46284877232143,47,2023-11-10 14:00:00+00:00,1947.8734744262695,2.2250544692526857,35.34271151601635,0.007871565285643232,takeprofit
short,48,2023-11-10 14:30:00+00:00,1945.6766994018556,2.3141374138305886,4504.8156531308105,2.2524078265654053,0.761596918299073,neutral,7.3606828962053275,13.085658482142804,55,2023-11-10 18:00:00+00:00,1940.8699744262694,2.245719911600124,8.87770219239753,0.0019707137596690774,signal_exit
long,56,2023-11-10 18:30:00+00:00,1940.719875,1.807482593642826,3506.0643610186717,1.7530321805093358,0.8679170839160966,bear,10.317864990234288,18.342871093749846,84,2023-11-11 20:00:00+00:00,1942.556209645996,1.755568268053961,1.5635746406870532,0.00044596290304059434,signal_exit
short,87,2023-11-11 23:00:00+00:00,1942.6641585742188,2.3192160641494306,4507.711779702516,2.2538558898512577,0.35542201851300637,neutral,6.110912109374944,10.863843749999901,113,2023-11-13 01:00:00+00:00,1945.3722244262694,2.2558692568197576,-8.536459083669548,-0.0018937455411652136,signal_exit
short,116,2023-11-13 04:00:00+00:00,1938.53025,2.321658230453432,4502.856137964432,2.2514280689822157,0.6227437574796753,neutral,6.099372070312484,10.843328124999971,120,2023-11-13 09:00:00+00:00,1943.1710511474607,2.2556895320376746,-13.030043711937676,-0.0028937286274990917,signal_exit
short,124,2023-11-13 14:00:00+00:00,1935.7316011962891,1.8055832156136327,3496.8729255156795,1.7484364627578397,0.37999956280942304,bear,5.74716796875003,10.217187500000053,125,2023-11-13 14:30:00+00:00,1940.56977557373,1.7519301077515206,-10.487656557870794,-0.002999152894960915,signal_exit
short,129,2023-11-13 16:30:00+00:00,1949.0749627990724,1.791026032574329,3492.5902929584595,1.7462951464792298,0.5947494117215655,bear,8.23505336216515,14.640094866071378,143,2023-11-14 03:00:00+00:00,1949.5742755737301,1.745869139994895,-2.6401513178040403,-0.0007559292949782708,signal_exit
long,144,2023-11-14 05:00:00+00:00,1949.174051147461,2.5599125377219787,4987.22148099423,2.493610740497115,0.5408229752559055,bull,3.4328744070870245,6.102887834821377,146,2023-11-14 07:00:00+00:00,1948.5252500000001,2.494027108771427,-4.154901300644035,-0.0008331094410941887,signal_exit
long,149,2023-11-14 10:00:00+00:00,1951.775448852539,2.5547965451239154,4983.897224973659,2.4919486124868295,0.5134170995459051,bull,3.047175816127261,5.417201450892909,150,2023-11-14 11:00:00+00:00,1948.7251011962892,2.489298077966266,-10.282315731580054,-0.00206310749749347,stop
