entry_idx,entry_date,side,entry_price,units,risk_frac,conf_weight,vol_scale,trend_weight,exit_idx,exit_price,gross_ret,net_ret,pct_ret,pre_equity,post_equity,exit_reason
1,2023-11-08 22:00:00+00:00,long,1957.1280383605958,,,0.8228073672228229,1.4,,,,,,,,,
1,,short,1957.1280383605958,,,,,,2.0,1957.0780255737302,2.5554825209939125e-05,-0.001474445174790061,,10000.0,,sl
5,2023-11-09 02:00:00+00:00,long,1956.07752557373,,,0.8012774994617651,1.4,,,,,,,,,
5,,short,1956.07752557373,,,,,,6.0,1955.1770511474608,0.0004605590198294429,-0.0010394409801705571,,,,sl
9,2023-11-09 07:00:00+00:00,long,1955.47725,,,0.8674431220352431,1.4,,,,,,,,,
9,,short,1955.47725,,,,,,13.0,1954.776948852539,0.00035825117943621976,-0.0011417488205637803,,,,sl
14,2023-11-09 12:00:00+00:00,long,1951.775448852539,,,0.8248369064601048,1.4,,,,,,,,,
14,,short,1951.775448852539,,,,,,15.0,1956.6778011474607,-0.002505446881467588,-0.0040054468814675875,,,,sl
18,2023-11-09 15:00:00+00:00,long,1969.1840511474609,,,0.8140178346789212,1.4,,,,,,,,,
18,,short,1969.1840511474609,,,,,,19.0,1967.8834133605958,0.0006609323387933852,-0.0008390676612066148,,,,sl
22,2023-11-09 17:00:00+00:00,long,1967.9834999999998,,,0.7923311593336679,1.4,,,,,,,,,
22,,short,1967.9834999999998,,,,,,23.0,1968.5837755737302,-0.0003049276242030885,-0.0018049276242030885,,,,sl
26,2023-11-09 19:00:00+00:00,long,1964.6818011474609,,,0.7687717523353284,1.4,,,,,,,,,
26,,short,1964.6818011474609,,,,,,27.0,1964.281637786865,0.00020371995181234226,-0.0012962800481876578,,,,sl
30,2023-11-09 21:00:00+00:00,long,1964.8819744262694,,,0.7923311593336679,1.4,,,,,,,,,
30,,short,1964.8819744262694,,,,,,31.0,1964.731875,7.639690085925466e-05,-0.0014236030991407454,,,,sl
34,2023-11-10 01:00:00+00:00,long,1965.08202557373,,,0.7687717523353284,1.4,,,,,,,,,
34,,short,1965.08202557373,,,,,,35.0,1964.1815511474608,0.00045844765507707663,-0.0010415523449229234,,,,sl
38,2023-11-10 05:00:00+00:00,long,1962.8809744262694,,,0.8228073672228229,1.4,,,,,,,,,
38,,short,1962.8809744262694,,,,,,39.0,1962.58077557373,0.00015296127235919776,-0.0013470387276408023,,,,sl
42,2023-11-10 09:00:00+00:00,long,1959.3792244262695,,,0.8248369064601048,1.4,,,,,,,,,
42,,short,1959.3792244262695,,,,,,43.0,1959.4792499999999,-5.104701860469962e-05,-0.0015510470186046997,,,,sl
46,2023-11-10 13:00:00+00:00,long,1951.47525,,,0.8228073672228229,1.4,,,,,,,,,
46,,short,1951.47525,,,,,,117.0,1944.0715255737302,0.0038083600983171984,0.0023083600983171983,,,,sl
118,2023-11-13 06:00:00+00:00,long,1943.6713011474608,,0.023042568732782102,0.8228073672228229,1.4,1.000171991764368,,,,,,,,
118,,short,1943.6713011474608,,,,,,120.0,1943.1710511474607,0.0002574400229484741,-0.001242559977051526,,,,sl
122,2023-11-13 11:00:00+00:00,long,1942.8709744262694,,0.022429708451690438,0.8012774994617651,1.4,0.9997298272694428,,,,,,,,
122,,short,1942.8709744262694,,,,,,126.0,1943.4712499999998,-0.0003088677405083118,-0.0018088677405083118,,,,sl
127,2023-11-13 15:30:00+00:00,long,1947.223125,,0.022164154492605545,0.7923311593336679,1.4,0.9990481086597448,,,,,,,,
127,,short,1947.223125,,,,,,128.0,1950.975,-0.0019230769230769162,-0.0034230769230769163,,,,sl
131,2023-11-13 17:30:00+00:00,long,1952.1255383605958,,0.022179862284508686,0.7923311593336679,1.4,0.9997561365611606,,,,,,,,
131,,short,1952.1255383605958,,,,,,132.0,1953.1760511474608,-0.0005378484884902557,-0.0020378484884902557,,,,sl
135,2023-11-13 19:30:00+00:00,long,1951.575336639404,,0.022151580422176107,0.7903016200963862,1.4,1.0010454895993866,,,,,,,,
135,,short,1951.575336639404,,,,,,136.0,1951.775448852539,-0.00010252829712187328,-0.0016025282971218733,,,,sl
139,2023-11-13 22:00:00+00:00,long,1951.375163360596,,0.02315095506506776,0.8248369064601048,1.4,1.0024040113588335,,,,,,,,
139,,short,1951.375163360596,,,,,,140.0,1951.57527557373,-0.00010253881345945182,-0.0016025388134594518,,,,sl
143,2023-11-14 03:00:00+00:00,long,1949.5742755737301,,0.023139572393186807,0.8234500043111843,1.4,1.0035986343189909,,,,,,,,
143,,short,1949.5742755737301,,,,,,144.0,1949.174051147461,0.00020533026593172465,-0.0012946697340682754,,,,sl
147,2023-11-14 08:00:00+00:00,long,1950.1745511474608,,0.022291762924004848,0.7923311593336679,1.4,1.0048000520547,,,,,,,,
147,,short,1950.1745511474608,,,,,,148.0,1951.9754999999998,-0.0009226288201562571,-0.002422628820156257,,,,sl
151,2023-11-14 12:00:00+00:00,long,1949.9744999999998,,0.022281103742060392,0.7923311593336679,1.4,1.0043195899840616,,,,,,,,
151,,short,1949.9744999999998,,,,,,152.0,1959.3792244262695,-0.004799849007801726,-0.006299849007801726,,,,sl
155,2023-11-14 15:00:00+00:00,long,1969.3842244262694,,0.022261806507774297,0.7903016200963862,1.4,1.0060266838853618,,,,,,,,
155,,short,1969.3842244262694,,,,,,156.0,1969.1841122131348,0.00010162189096152296,-0.001398378109038477,,,,sl
159,2023-11-14 17:00:00+00:00,long,1967.08302557373,,0.022302940836091543,0.7903016200963862,1.4,1.0078855730952918,,,,,,,,
159,,short,1967.08302557373,,,,,,160.0,1967.3831633605957,-0.00015255685443249511,-0.0016525568544324951,,,,sl
163,2023-11-14 19:00:00+00:00,long,1968.783948852539,,0.022403182198641305,0.7923311593336679,1.4,1.009822270052275,,,,,,,,
163,,short,1968.783948852539,,,,,,164.0,1968.6838622131347,5.083936599747929e-05,-0.0014491606340025207,,,,sl
167,2023-11-14 21:00:00+00:00,long,1968.1835511474608,,0.02239484436118023,0.7903016200963862,1.4,1.012038757992935,,,,,,,,
167,,short,1968.1835511474608,,,,,,168.0,1967.6833011474607,0.00025423298541404904,-0.001245767014585951,,,,sl
171,2023-11-15 01:00:00+00:00,long,1967.183051147461,,0.02249326057053543,0.7923311593336679,1.4,1.0138825479709295,,,,,,,,
171,,short,1967.183051147461,,,,,,172.0,1968.984,-0.0009146589573805208,-0.002414658957380521,,,,sl
175,2023-11-15 05:00:00+00:00,long,1971.58527557373,,0.023327668557018105,0.8228073672228229,1.4,1.0125468646513531,,,,,,,,
175,,short,1971.58527557373,,,,,,176.0,1974.186551147461,-0.0013176442581978032,-0.002817644258197803,,,,sl
179,2023-11-15 09:00:00+00:00,long,1976.08752557373,,0.0217781447603709,0.7687717523353284,1.4,1.0117318722185547,,,,,,,,
179,,short,1976.08752557373,,,,,,180.0,1977.9885,-0.0009610644481855557,-0.0024610644481855557,,,,sl
