iter	Passed	Remaining
0	157	156979
1	162	80949
2	165	55098
3	169	42206
4	173	34444
5	176	29301
6	180	25581
7	184	22831
8	187	20677
9	191	18943
10	194	17520
11	198	16335
12	202	15339
13	205	14483
14	209	13742
15	212	13090
16	216	12517
17	220	12030
18	224	11570
19	227	11151
20	231	10786
21	235	10448
22	238	10133
23	242	9844
24	245	9587
25	249	9345
26	252	9116
27	256	8904
28	260	8712
29	263	8530
30	267	8355
31	270	8193
32	274	8040
33	278	7925
34	283	7805
35	286	7675
36	290	7561
37	294	7462
38	299	7375
39	304	7296
40	308	7226
41	314	7167
42	318	7097
43	323	7026
44	328	6963
45	333	6919
46	337	6852
47	342	6783
48	346	6723
49	350	6666
50	355	6608
51	359	6553
52	363	6499
53	368	6449
54	372	6397
55	376	6348
56	380	6300
57	384	6251
58	389	6208
59	393	6163
60	398	6132
61	403	6104
62	409	6083
63	413	6051
64	418	6015
65	422	5978
66	426	5945
67	431	5914
68	435	5882
69	439	5845
70	444	5814
71	448	5782
72	452	5751
73	457	5722
74	461	5693
75	465	5663
76	470	5635
77	474	5609
78	478	5582
79	483	5555
80	487	5529
81	491	5501
82	495	5479
83	500	5460
84	505	5444
85	509	5418
86	513	5389
87	518	5368
88	522	5348
89	527	5334
90	532	5316
91	536	5296
92	541	5276
93	545	5257
94	550	5241
95	554	5224
96	559	5207
97	563	5189
98	570	5188
99	575	5180
100	581	5175
101	585	5158
102	589	5134
103	593	5109
104	598	5099
105	601	5077
106	605	5054
107	609	5031
108	613	5017
109	617	4995
110	621	4974
111	624	4953
112	629	4939
113	632	4919
114	636	4899
115	640	4879
116	645	4868
117	649	4854
118	653	4837
119	657	4818
120	661	4807
121	665	4789
122	669	4770
123	672	4752
124	677	4740
125	681	4730
126	687	4723
127	692	4718
128	696	4704
129	700	4688
130	704	4672
131	708	4657
132	711	4640
133	715	4625
134	719	4609
135	723	4594
136	726	4578
137	730	4562
138	733	4546
139	737	4531
140	741	4518
141	745	4503
142	749	4489
143	752	4474
144	756	4461
145	760	4446
146	763	4431
147	767	4416
148	770	4403
149	774	4389
150	778	4374
151	781	4360
152	785	4346
153	788	4334
154	792	4320
155	796	4307
156	799	4294
157	803	4282
158	807	4269
159	810	4256
160	814	4243
161	818	4235
162	823	4227
163	826	4215
164	830	4202
165	834	4194
166	838	4182
167	841	4169
168	845	4157
169	849	4146
170	852	4135
171	856	4123
172	860	4111
173	864	4101
174	867	4090
175	871	4079
176	874	4067
177	878	4057
178	882	4046
179	885	4035
180	889	4024
181	893	4014
182	896	4003
183	900	3993
184	904	3982
185	907	3973
186	912	3965
187	916	3956
188	919	3946
189	924	3939
190	928	3931
191	932	3925
192	937	3919
193	941	3912
194	946	3905
195	950	3899
196	955	3893
197	959	3887
198	964	3881
199	968	3875
200	973	3868
201	977	3860
202	981	3852
203	985	3844
204	989	3836
205	993	3829
206	997	3823
207	1002	3816
208	1006	3809
209	1010	3800
210	1014	3793
211	1018	3783
212	1021	3774
213	1025	3765
214	1029	3757
215	1033	3750
216	1037	3744
217	1041	3735
218	1046	3730
219	1051	3728
220	1056	3723
221	1061	3719
222	1066	3715
223	1070	3709
224	1076	3706
225	1081	3705
226	1086	3699
227	1091	3695
228	1096	3691
229	1100	3685
230	1105	3679
231	1110	3675
232	1115	3670
233	1119	3664
234	1124	3661
235	1130	3658
236	1134	3652
237	1141	3654
238	1146	3649
239	1150	3644
240	1156	3641
241	1160	3634
242	1164	3627
243	1168	3620
244	1174	3618
245	1178	3612
246	1184	3609
247	1190	3608
248	1194	3602
249	1198	3595
250	1204	3595
251	1209	3591
252	1214	3586
253	1220	3583
254	1225	3578
255	1229	3574
256	1234	3568
257	1238	3562
258	1242	3555
259	1246	3546
260	1249	3538
261	1255	3536
262	1259	3528
263	1262	3520
264	1266	3513
265	1271	3508
266	1275	3502
267	1279	3495
268	1284	3489
269	1287	3481
270	1291	3474
271	1295	3466
272	1299	3459
273	1303	3452
274	1306	3445
275	1310	3437
276	1314	3430
277	1318	3424
278	1322	3416
279	1325	3408
280	1329	3401
281	1334	3398
282	1339	3392
283	1343	3386
284	1349	3385
285	1353	3379
286	1358	3373
287	1361	3367
288	1366	3362
289	1370	3354
290	1373	3347
291	1377	3340
292	1382	3335
293	1386	3328
294	1389	3321
295	1393	3314
296	1398	3309
297	1401	3302
298	1405	3295
299	1409	3287
300	1413	3283
301	1417	3276
302	1421	3269
303	1424	3262
304	1429	3257
305	1433	3250
306	1437	3243
307	1440	3237
308	1445	3232
309	1449	3225
310	1452	3218
311	1456	3211
312	1461	3207
313	1465	3200
314	1468	3193
315	1472	3186
316	1477	3182
317	1480	3175
318	1484	3168
319	1488	3162
320	1492	3157
321	1496	3151
322	1500	3144
323	1503	3137
324	1508	3132
325	1511	3125
326	1515	3119
327	1519	3112
328	1523	3107
329	1527	3100
330	1530	3094
331	1534	3087
332	1538	3082
333	1542	3076
334	1546	3069
335	1550	3063
336	1553	3056
337	1558	3051
338	1561	3045
339	1565	3038
340	1569	3032
341	1573	3027
342	1577	3021
343	1581	3015
344	1584	3008
345	1589	3004
346	1593	2998
347	1596	2992
348	1600	2985
349	1606	2983
350	1611	2980
351	1615	2974
352	1619	2969
353	1623	2962
354	1627	2956
355	1630	2950
356	1635	2945
357	1639	2939
358	1642	2933
359	1646	2926
360	1650	2921
361	1654	2915
362	1657	2908
363	1661	2902
364	1664	2896
365	1669	2892
366	1673	2886
367	1676	2879
368	1680	2874
369	1685	2869
370	1689	2863
371	1692	2857
372	1696	2851
373	1701	2847
374	1704	2841
375	1708	2835
376	1712	2829
377	1717	2825
378	1720	2819
379	1724	2813
380	1727	2807
381	1733	2803
382	1736	2797
383	1740	2791
384	1744	2786
385	1749	2783
386	1753	2777
387	1757	2771
388	1760	2765
389	1765	2762
390	1769	2756
391	1773	2750
392	1776	2744
393	1781	2740
394	1785	2734
395	1788	2728
396	1792	2722
397	1798	2720
398	1802	2715
399	1806	2709
400	1810	2703
401	1814	2698
402	1817	2692
403	1821	2687
404	1824	2681
405	1829	2677
406	1834	2672
407	1837	2666
408	1841	2661
409	1845	2655
410	1849	2650
411	1853	2644
412	1856	2639
413	1860	2633
414	1864	2628
415	1868	2622
416	1871	2616
417	1875	2611
418	1879	2606
419	1883	2600
420	1886	2595
421	1890	2589
422	1894	2583
