date,source,title,description,url,label,score,sent_value
2025-10-09,Financial Post,"West Red Lake Gold Hits New High-Grade Gold Lens in Lower Main Austin with 139.45 g/t Au over 7.8m, 74.70 g/t Au over 8.7m and 18.31 g/t Au over 7.5m","VANCOUVER, British Columbia, Oct. 09, 2025 (GLOBE NEWSWIRE) — West Red Lake Gold Mines Ltd. (“West Red Lake Gold” or “WRLG” or the “Company”) (TSXV: WRLG) (OTCQB: WRLGF) is pleased to report drill results from its 100% owned Madsen Mine located in the Red Lak…",https://financialpost.com/globe-newswire/west-red-lake-gold-hits-new-high-grade-gold-lens-in-lower-main-austin-with-139-45-g-t-au-over-7-8m-74-70-g-t-au-over-8-7m-and-18-31-g-t-au-over-7-5m,Neutral,0.9381151795387268,
2025-10-09,Radaronline.com,How to Manage WoW Gold Like a Budget,"Evergreen WoW gold guide: farm vs buy wow gold, read price corridors, use peak windows, pick reliable vendors—with a timely The War Within 11.2 example.",https://radaronline.com/p/how-to-manage-wow-gold-like-a-budget/,Neutral,0.9997660517692566,
2025-10-09,The Times of India,"Gold price vs US Dollar: $6,000 to $9,000 - where will gold rate go up? Is Donald Trump responsible for gold rush over slipping USD?","Gold prices rally in the longer term would come from how central banks think about monetary policy and how central banks think about their own reserves, experts said.",https://economictimes.indiatimes.com/news/international/us/gold-price-vs-us-dollar-6000-to-9000-where-will-gold-rate-go-is-donald-trump-responsible-for-gold-rush-over-slipping-usd/articleshow/124404865.cms,Neutral,0.9832767248153687,
2025-10-09,The Times of India,Gold price prediction: Gold rate falls after hitting historic high. What is halting bullion's dream run?,"Gold rate has climbed 54 per cent year-to-date on strong central bank buying, increased demand for gold-backed Exchange-Traded Fund (ETFs), a weaker dollar and safe-haven demand.",https://economictimes.indiatimes.com/news/international/us/gold-price-prediction-gold-rate-falls-after-hitting-historic-high-what-is-halting-bullions-dream-run/articleshow/124404467.cms,Negative,0.9495908617973328,
2025-10-09,The Times of India,"Buy Titan, watch Trent: ICICI Direct's Kaustubh Pawaskar on what’s next for Tata Retail stocks","Tata Group's retail performance shows a divergence, with Titan Company's jewellery segment exceeding expectations while Trent Ltd. experienced slower-than-anticipated growth. Titan's strong festive demand and studded jewellery sales drove its success, while T…",https://economictimes.indiatimes.com/markets/expert-view/buy-titan-watch-trent-icici-directs-kaustubh-pawaskar-on-whats-next-for-tata-retail-stocks/articleshow/124385373.cms,Neutral,0.9985610842704773,
2025-10-09,Ndtvprofit.com,"Gold, Silver Prices Hit Fresh Record High - Check Rates In Delhi, Mumbai, Other Cities","Gold prices in India today were trading at levels above the Rs 1,23,430 mark, amid the festive season. The gold price today rallied to a fresh high of Rs 1,23,430 according to the India Bullion Co. The prices jumped over Rs 2,000 after the commodity was tradi…",https://www.ndtvprofit.com/markets/gold-silver-prices-hit-fresh-record-high-check-rates-in-delhi-mumbai-other-cities,Positive,0.9913641214370728,
2025-10-09,The Times of India,Rs 10 lakh to Rs 1 crore! India's oldest gold ETF sparkles with dazzling 950% return,"India's oldest gold ETF, Nippon India ETF Gold BeES, has delivered an impressive 950% return since 2007, transforming a Rs 10 lakh investment into over Rs 1 crore. This remarkable performance coincides with gold's record-breaking surge globally and domestical…",https://economictimes.indiatimes.com/markets/stocks/news/rs-10-lakh-to-rs-1-crore-indias-oldest-gold-etf-sparkles-with-dazzling-950-return/articleshow/124402561.cms,Neutral,0.9975851774215698,
2025-10-09,Motley Fool Australia,"Why Elders, Larvotto, PYC, and Regis Resources shares are falling today","These shares are underperforming on Thursday. But why?
The post Why Elders, Larvotto, PYC, and Regis Resources shares are falling today appeared first on The Motley Fool Australia.",https://www.fool.com.au/2025/10/09/why-elders-larvotto-pyc-and-regis-resources-shares-are-falling-today/,Neutral,0.6953830718994141,
2025-10-08,Motley Fool Australia,Platinum is outperforming even gold this year. So how can you get exposure on the ASX?,"We look at how you can take advantage of the surging platinum price on the ASX.
The post Platinum is outperforming even gold this year. So how can you get exposure on the ASX? appeared first on The Motley Fool Australia.",https://www.fool.com.au/2025/10/09/platinum-is-outperforming-even-gold-this-year-so-how-can-you-get-exposure-on-the-asx/,Neutral,0.9933619499206543,
2025-10-08,Motley Fool Australia,Forget gold! Pilbara Minerals shares take centre stage as lithium stocks surge,"Is lithium flying under the radar?
The post Forget gold! Pilbara Minerals shares take centre stage as lithium stocks surge appeared first on The Motley Fool Australia.",https://www.fool.com.au/2025/10/09/forget-gold-pilbara-minerals-shares-take-centre-stage-as-lithium-stocks-surge/,Positive,0.9853459596633911,
